escola, etapa, idade_media, desempenho_portugues, desempenho_matematica
JOSE MARIO BARBOSA ECIM, 1 Ano, 8, 6, 6.9
JOSE MARIO BARBOSA ECIM, 2 Ano, 9, 6.8, 7.1
JOSE MARIO BARBOSA ECIM, 3 Ano, 10, 7.5, 6.5
JOSE MARIO BARBOSA ECIM, 4 Ano, 11, 6.9, 7.3
JOSE MARIO BARBOSA ECIM, 5 Ano, 12, 7.5, 6.8
JOSE MARIO BARBOSA ECIM, 6 Ano, 13, 6.7, 7.2
JOSE MARIO BARBOSA ECIM, 7 Ano, 14, 7.3, 6.9
JOSE MARIO BARBOSA ECIM, 8 Ano, 15, 7.0, 7.4
JOSE MARIO BARBOSA ECIM, 9 Ano, 16, 6.9, 7.1

TANCREDO NEVES ECIM PRESIDENTE, 6 Ano, 13, 7.3, 7.0
TANCREDO NEVES ECIM PRESIDENTE, 7 Ano, 14, 7.1, 7.2
TANCREDO NEVES ECIM PRESIDENTE, 8 Ano, 15, 6.9, 7.4
TANCREDO NEVES ECIM PRESIDENTE, 9 Ano, 16, 7.2, 7.0

JOSE BELISARIO DE SOUSA EMEF, 1 Ano, 8, 7.8, 7.0
JOSE BELISARIO DE SOUSA EMEF, 2 Ano, 9, 7.1, 7.2
JOSE BELISARIO DE SOUSA EMEF, 3 Ano, 10, 7.0, 7.1
JOSE BELISARIO DE SOUSA EMEF, 4 Ano, 11, 7.1, 7.2
JOSE BELISARIO DE SOUSA EMEF, 5 Ano, 12, 7.1, 6.9

MANOEL ROSEO LANDIM ECIM, 6 Ano, 11, 7.0, 6.8
MANOEL ROSEO LANDIM ECIM, 7 Ano, 12, 7.4, 7.2
MANOEL ROSEO LANDIM ECIM, 8 Ano, 13, 6.8, 7.0
MANOEL ROSEO LANDIM ECIM, 9 Ano, 14, 7.2, 7.4

VINICIUS DE MORAIS EMEIEF, 1 Ano, 8, 5.5, 7.0
VINICIUS DE MORAIS EMEIEF, 2 Ano, 9, 7.1, 6.8
VINICIUS DE MORAIS EMEIEF, 3 Ano, 10, 7.4, 6.9
VINICIUS DE MORAIS EMEIEF, 4 Ano, 11, 7.0, 7.3
VINICIUS DE MORAIS EMEIEF, 5 Ano, 12, 7.3, 6.7

RACHEL DE QUEIROZ ECIM, 1 Ano, 8, 7.0, 6.9
RACHEL DE QUEIROZ ECIM, 2 Ano, 9, 7.2, 7.1
RACHEL DE QUEIROZ ECIM, 3 Ano, 10, 6.9, 7.0
RACHEL DE QUEIROZ ECIM, 4 Ano, 11, 7.3, 7.0
RACHEL DE QUEIROZ ECIM, 5 Ano, 12, 7.1, 7.2
RACHEL DE QUEIROZ ECIM, 6 Ano, 13, 7.2, 7.1
RACHEL DE QUEIROZ ECIM, 7 Ano, 14, 7.3, 7.1
RACHEL DE QUEIROZ ECIM, 8 Ano, 15, 7.3, 6.8
RACHEL DE QUEIROZ ECIM, 9 Ano, 16, 7.5, 7.3
